role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack_Percentage,Productivity_Risk
Senior,DevOps Engineer,47,23,5,5,10,7,37,96.0,Low
Senior,Data Engineer,42,10,5,4,9,9,37,96.0,Low
Senior,System Administrator,43,18,5,3,13,24,34,96.0,Low
Senior,Cloud Engineer,51,22,3,5,15,19,26,96.0,Low
Senior,Solution Architect,47,20,5,4,13,20,23,96.0,Low
Senior,Support Analyst,46,20,5,5,14,12,23,96.0,Low
Trainee,Business Analyst,22,1,2,3,2,25,7,45.55,High
Junior,Support Analyst,29,5,2,3,9,15,10,68.85,Medium
Senior,Database Administrator,32,8,5,3,14,17,36,96.0,Low
Senior,System Administrator,35,12,5,5,17,24,37,96.0,Low
Junior,System Analyst,29,5,3,5,4,33,18,82.95,Low
Junior,Cloud Engineer,27,7,3,5,4,18,21,96.0,Low
Junior,Data Analyst,31,6,2,4,8,30,11,68.3,Medium
Junior,Cloud Engineer,32,5,2,5,9,14,15,92.55,Low
Trainee,DevOps Engineer,22,1,1,2,2,39,9,18.0,High
Senior,Business Analyst,41,12,5,4,8,18,24,96.0,Low
Senior,Support Analyst,47,19,5,5,9,20,35,96.0,Low
Trainee,Support Analyst,21,1,2,2,3,36,17,26.75,High
Junior,System Analyst,34,2,3,5,8,33,22,86.8,Low
Trainee,Business Analyst,21,1,3,4,2,23,11,66.55,Medium
Junior,Cloud Engineer,25,5,3,2,9,18,18,76.95,Medium
Senior,Data Analyst,48,22,5,4,9,9,26,96.0,Low
Junior,Solution Architect,24,3,2,4,6,28,15,73.15,Medium
Trainee,Data Scientist,26,1,2,2,2,31,13,38.75,High
Trainee,IT Manager,26,2,3,4,2,32,13,65.5,Medium
Senior,Business Analyst,46,17,4,5,10,14,26,96.0,Low
Senior,Business Analyst,48,18,5,5,15,13,32,96.0,Low
Senior,DevOps Engineer,39,9,4,5,13,11,34,96.0,Low
Trainee,Data Scientist,23,2,1,2,3,39,8,18.0,High
Senior,Data Scientist,41,16,4,4,13,18,35,96.0,Low
Junior,System Analyst,34,7,2,5,8,14,13,88.75,Low
Senior,QA Tester,38,9,4,5,16,13,28,96.0,Low
Senior,Cloud Engineer,47,18,4,4,9,10,24,96.0,Low
Junior,System Administrator,29,6,2,4,4,23,13,71.4,Low
Senior,QA Engineer,48,17,5,4,16,21,19,96.0,Low
Senior,System Analyst,53,22,4,4,9,8,28,96.0,Low
Junior,System Administrator,29,3,4,3,7,13,13,91.75,Low
Junior,Data Scientist,30,2,4,4,10,20,22,96.0,Low
Senior,Cloud Engineer,46,14,5,4,9,9,34,96.0,Low
Junior,Business Analyst,29,6,3,4,8,24,13,84.3,Low
Junior,QA Engineer,27,6,3,5,10,28,12,88.9,Low
Senior,DevOps Engineer,49,25,5,3,12,13,29,96.0,Low
Junior,Database Administrator,34,2,2,3,7,20,16,67.6,Medium
Senior,QA Engineer,45,17,5,4,15,23,32,96.0,Low
Senior,UX Researcher,43,14,4,5,12,13,24,96.0,Low
Senior,Data Analyst,44,14,4,5,16,8,21,96.0,Low
Junior,QA Tester,24,2,3,2,9,20,14,68.6,Medium
Junior,Data Analyst,29,5,2,4,5,27,15,68.85,Medium
Junior,System Administrator,24,3,4,3,9,19,21,95.55,Low
Senior,DevOps Engineer,45,21,5,5,18,20,19,96.0,Low
Trainee,Data Engineer,24,2,2,2,4,33,17,40.2,High
Senior,QA Engineer,51,19,4,4,11,18,32,96.0,Low
Senior,Cloud Engineer,57,25,5,4,12,10,22,96.0,Low
Junior,UX Researcher,33,4,4,3,9,21,15,89.2,Low
Junior,Data Engineer,30,2,4,3,5,31,15,79.7,Low
Trainee,Data Scientist,21,1,1,2,2,25,13,32.95,High
Senior,UX Designer,37,12,4,3,18,13,23,96.0,Low
Senior,UX Designer,49,18,5,3,16,10,31,96.0,Low
Junior,DevOps Engineer,26,2,3,4,9,26,16,85.2,Low
Senior,Data Engineer,51,24,4,4,16,24,20,96.0,Low
Junior,UX Researcher,33,3,3,3,10,12,22,88.75,Low
Junior,Data Scientist,25,5,4,3,5,14,11,92.35,Low
Junior,Data Analyst,30,4,2,4,9,13,21,84.2,Low
Junior,System Administrator,25,5,3,3,8,18,21,83.25,Low
Junior,Data Scientist,28,6,4,4,5,13,13,96.0,Low
Trainee,UX Researcher,21,1,3,1,2,40,16,27.65,High
Senior,System Administrator,36,12,4,4,8,21,25,96.0,Low
Trainee,Solution Architect,22,2,2,3,4,41,13,43.0,High
Trainee,System Administrator,22,2,1,4,4,26,10,46.3,Medium
Junior,Data Scientist,34,5,2,5,7,27,15,82.65,Medium
Senior,Data Scientist,41,8,5,3,12,16,25,96.0,Low
Senior,DevOps Engineer,38,12,5,4,9,19,27,96.0,Low
Trainee,Database Administrator,26,0,3,2,4,32,9,44.8,High
Junior,Data Scientist,30,6,4,2,9,18,13,86.4,Low
Junior,UX Researcher,31,4,4,2,9,12,15,87.5,Low
Junior,System Administrator,26,6,2,3,8,28,21,66.7,Medium
Senior,Database Administrator,54,24,4,4,13,13,35,96.0,Low
Junior,Data Scientist,33,3,4,4,7,23,10,94.55,Low
Junior,Data Analyst,28,2,3,4,8,15,16,89.0,Low
Senior,QA Tester,39,14,5,4,12,20,31,96.0,Low
Trainee,Data Analyst,21,1,2,2,2,29,11,35.35,High
Senior,IT Manager,54,21,4,3,17,16,31,96.0,Low
Trainee,Cloud Engineer,25,0,1,1,3,34,10,18.0,High
Junior,QA Tester,24,4,3,4,6,20,11,81.6,Low
Junior,Business Analyst,30,2,4,3,4,26,16,80.7,Low
Senior,Data Engineer,57,25,4,4,10,13,29,96.0,Low
Senior,System Administrator,57,24,5,4,15,8,29,96.0,Low
Junior,System Administrator,31,3,2,3,5,22,14,64.05,Medium
Senior,System Analyst,37,14,5,3,8,22,29,96.0,Low
Junior,Data Engineer,26,6,3,3,5,20,17,80.0,Low
Senior,QA Tester,57,25,5,4,17,13,23,96.0,Low
Trainee,Cloud Engineer,22,2,2,4,3,27,16,59.1,Medium
Junior,QA Engineer,33,4,3,5,6,31,10,81.5,Medium
Senior,Data Scientist,48,17,4,4,18,24,25,96.0,Low
Trainee,Data Analyst,23,2,2,3,3,27,11,46.1,High
Trainee,DevOps Engineer,25,2,2,4,2,31,6,51.4,High
Trainee,UX Researcher,26,0,2,3,4,34,17,44.6,Medium
Junior,Cloud Engineer,24,4,2,5,7,12,14,91.3,Low
Senior,Database Administrator,38,11,5,4,12,24,18,96.0,Low
Junior,Support Analyst,32,2,4,4,10,25,14,91.0,Low
Senior,IT Manager,35,11,4,5,14,16,26,96.0,Low
Senior,IT Manager,51,19,4,5,10,7,29,96.0,Low
Junior,Cloud Engineer,32,6,3,3,6,33,22,73.8,Medium
Senior,IT Manager,39,9,4,5,13,21,30,96.0,Low
Trainee,Cloud Engineer,22,1,1,1,4,23,8,25.15,High
Junior,QA Tester,27,3,3,2,7,26,13,62.65,Medium
Senior,Data Analyst,44,16,5,5,9,9,25,96.0,Low
Junior,UX Researcher,28,2,2,4,6,14,17,79.3,Low
Junior,UX Designer,34,5,3,3,6,18,22,82.85,Low
Junior,IT Manager,24,4,4,3,7,27,17,88.0,Low
Senior,Data Analyst,47,24,5,4,18,19,29,96.0,Low
Junior,System Administrator,32,2,3,3,4,19,19,76.8,Low
Junior,Support Analyst,28,5,3,2,9,14,19,75.15,Medium
Junior,Solution Architect,30,3,4,3,9,12,10,96.0,Low
Senior,QA Tester,47,17,5,4,12,13,30,96.0,Low
Junior,Business Analyst,28,5,3,5,6,28,10,86.05,Medium
Junior,Cloud Engineer,28,6,3,3,9,14,17,87.8,Low
Senior,System Analyst,55,23,4,4,17,21,20,96.0,Low
Senior,Cloud Engineer,36,13,4,5,18,24,33,96.0,Low
Senior,IT Manager,49,19,4,3,11,18,24,96.0,Low
Junior,QA Engineer,30,2,3,2,9,29,21,65.1,Medium
Junior,QA Tester,33,2,2,4,9,19,13,74.9,Low
Junior,Database Administrator,33,6,4,3,9,26,12,85.4,Low
Senior,IT Manager,41,9,4,4,11,15,24,96.0,Low
Senior,Database Administrator,45,16,5,4,11,12,37,96.0,Low
Junior,UX Researcher,34,3,3,5,7,25,19,91.75,Low
Senior,Support Analyst,44,19,5,5,12,12,20,96.0,Low
Junior,QA Engineer,29,6,3,4,8,32,12,76.3,Low
Trainee,Support Analyst,22,1,2,1,4,27,12,28.95,High
Senior,UX Designer,55,22,5,3,16,8,29,96.0,Low
Senior,UX Designer,40,10,4,3,15,12,34,96.0,Low
Senior,Business Analyst,41,9,5,3,16,20,21,96.0,Low
Senior,Cloud Engineer,48,23,5,4,10,24,31,96.0,Low
Senior,Data Engineer,46,16,4,5,11,18,28,96.0,Low
Senior,IT Manager,51,22,4,4,9,20,33,96.0,Low
Junior,UX Designer,30,7,2,2,8,21,18,63.85,Medium
Junior,UX Designer,34,4,3,3,9,16,20,85.7,Low
Senior,Solution Architect,45,21,4,3,14,22,20,96.0,Low
Junior,Solution Architect,24,4,3,3,9,16,14,86.3,Low
Junior,System Analyst,31,5,3,3,9,16,21,84.55,Low
Senior,Support Analyst,47,16,5,3,16,16,20,96.0,Low
Junior,Data Analyst,24,2,2,3,5,14,21,71.0,Medium
Senior,Database Administrator,39,15,5,4,8,12,32,96.0,Low
Junior,IT Manager,24,4,2,3,7,32,15,63.7,Medium
Senior,System Administrator,43,11,5,5,9,15,33,96.0,Low
Junior,Data Scientist,33,7,3,2,7,14,13,77.85,Medium
Trainee,IT Manager,26,2,1,3,4,22,12,45.9,Medium
Senior,Support Analyst,37,12,5,3,12,6,24,96.0,Low
Senior,QA Tester,54,22,4,5,14,17,22,96.0,Low
Senior,Data Engineer,39,9,4,4,13,10,23,96.0,Low
Junior,Support Analyst,28,5,4,4,9,16,12,96.0,Low
Trainee,UX Researcher,24,1,1,3,3,35,7,29.45,High
Junior,Solution Architect,31,4,3,3,7,26,13,77.1,Medium
Trainee,Database Administrator,25,2,2,2,1,28,10,36.2,High
Junior,Data Engineer,29,4,2,2,9,12,10,67.5,Medium
Senior,Solution Architect,48,21,5,5,14,9,26,96.0,Low
Trainee,UX Designer,26,1,2,3,3,40,10,38.15,High
Junior,Business Analyst,26,6,3,4,9,30,15,81.8,Low
Senior,IT Manager,54,22,4,4,12,6,26,96.0,Low
Senior,Data Scientist,51,22,5,4,13,24,22,96.0,Low
Senior,Data Engineer,48,19,5,4,13,7,35,96.0,Low
Junior,Data Analyst,24,4,4,4,10,28,19,93.8,Low
Junior,IT Manager,31,2,3,3,10,15,19,89.0,Low
Junior,Data Scientist,26,4,3,5,9,17,11,96.0,Low
Senior,Data Analyst,43,19,5,5,14,14,31,96.0,Low
Junior,Business Analyst,30,4,3,5,7,16,17,96.0,Low
Junior,Cloud Engineer,32,7,4,3,5,23,22,93.35,Low
Junior,Cloud Engineer,26,5,2,2,4,17,16,62.35,Medium
Junior,System Administrator,33,2,3,4,5,22,11,80.4,Low
Trainee,System Analyst,25,1,1,3,2,41,15,26.55,High
Junior,Business Analyst,34,4,4,3,10,32,15,82.4,Low
Junior,Database Administrator,32,4,4,3,9,26,16,86.1,Low
Trainee,UX Researcher,25,2,2,3,1,26,17,48.4,High
Trainee,IT Manager,21,0,1,3,3,23,6,41.0,Medium
Junior,Solution Architect,25,5,3,3,5,21,20,82.05,Low
Trainee,System Analyst,23,2,1,1,3,36,10,18.0,High
Trainee,System Administrator,26,2,2,2,3,29,12,38.1,High
Trainee,Data Analyst,23,2,2,2,4,25,16,42.4,High
Trainee,Data Scientist,23,0,3,2,1,36,9,37.3,High
Trainee,UX Designer,22,2,2,2,3,40,9,25.2,High
Trainee,Database Administrator,22,0,1,2,4,23,14,33.1,High
Senior,Data Scientist,48,20,4,4,17,9,35,96.0,Low
Senior,System Administrator,44,12,4,5,12,11,32,96.0,Low
Senior,Data Engineer,45,21,5,5,8,16,24,96.0,Low
Junior,QA Engineer,26,3,2,3,7,27,13,59.95,Medium
Trainee,QA Tester,26,2,2,1,3,35,17,20.9,High
Senior,Support Analyst,39,9,4,5,17,15,27,96.0,Low
Senior,UX Researcher,54,22,3,5,10,24,29,96.0,Low
Trainee,Business Analyst,24,2,3,1,4,26,13,43.5,Medium
Trainee,Support Analyst,25,1,2,4,3,40,11,42.55,High
Junior,IT Manager,33,4,3,2,9,13,11,79.2,Medium
Junior,Support Analyst,31,7,4,3,5,17,15,86.75,Low
Trainee,Database Administrator,21,1,3,3,4,33,17,55.75,Medium
Senior,Database Administrator,43,10,4,4,9,6,24,96.0,Low
Senior,Data Scientist,40,16,4,4,14,16,37,96.0,Low
Junior,Solution Architect,29,5,3,5,6,31,20,91.95,Low
Junior,Database Administrator,26,6,3,3,5,27,22,75.1,Medium
Junior,System Analyst,25,5,2,5,9,24,12,81.35,Low
Senior,Data Scientist,46,15,4,5,11,12,31,96.0,Low
Trainee,Support Analyst,26,1,1,3,3,44,15,23.35,High
Junior,QA Engineer,30,7,3,2,5,17,16,70.15,Medium
Senior,Cloud Engineer,40,9,5,4,17,10,37,96.0,Low
Senior,Cloud Engineer,47,21,5,3,14,17,33,96.0,Low
Senior,Database Administrator,35,8,3,4,18,14,20,96.0,Low
Senior,Solution Architect,51,20,5,5,8,9,18,96.0,Low
Senior,Data Engineer,48,15,5,5,18,24,27,96.0,Low
Trainee,System Administrator,26,2,1,3,1,30,12,33.6,High
Senior,Solution Architect,42,10,3,4,8,24,32,96.0,Low
Junior,Cloud Engineer,34,6,4,4,7,31,11,89.7,Low
Senior,UX Researcher,34,11,3,4,16,23,21,96.0,Low
Trainee,System Analyst,24,2,2,4,4,25,6,54.4,Medium
Senior,QA Tester,37,8,5,4,13,17,22,96.0,Low
Junior,Cloud Engineer,30,4,3,4,8,30,15,82.0,Low
Junior,Cloud Engineer,33,7,3,2,4,23,10,66.65,Medium
Junior,Data Engineer,26,2,3,3,8,23,19,79.6,Low
Senior,QA Engineer,54,22,4,4,11,8,26,96.0,Low
Senior,QA Tester,39,13,5,4,15,22,26,96.0,Low
Senior,DevOps Engineer,45,15,4,5,8,10,22,96.0,Low
Junior,System Analyst,25,5,4,3,9,32,17,81.75,Low
Junior,System Administrator,31,4,2,4,8,25,21,75.9,Medium
Trainee,Business Analyst,25,0,1,3,3,22,10,39.3,High
Trainee,Data Analyst,26,0,1,1,3,25,14,21.8,High
Senior,QA Tester,51,20,4,5,11,13,19,96.0,Low
Senior,System Analyst,46,16,4,3,10,7,32,96.0,Low
Senior,Solution Architect,42,18,4,4,10,6,27,96.0,Low
Junior,System Analyst,33,2,3,3,7,32,13,67.0,Medium
Junior,Business Analyst,29,3,4,2,7,21,13,78.15,Low
Trainee,Data Scientist,26,1,3,3,3,41,12,50.25,Medium
Trainee,Support Analyst,25,1,2,3,2,32,12,39.65,High
Junior,Solution Architect,33,4,3,3,6,22,17,80.6,Low
Trainee,UX Researcher,21,0,2,3,3,39,15,39.4,High
Senior,Data Engineer,50,18,5,5,16,13,18,96.0,Low
Senior,Data Engineer,44,14,5,5,9,15,26,96.0,Low
Trainee,Data Analyst,23,2,2,3,3,40,15,38.6,High
Senior,Business Analyst,49,25,4,3,15,7,19,96.0,Low
Senior,Support Analyst,35,8,4,4,17,12,34,96.0,Low
Junior,DevOps Engineer,30,3,4,3,7,31,16,82.35,Low
Junior,DevOps Engineer,34,6,4,4,5,23,19,96.0,Low
Senior,Solution Architect,54,23,5,4,8,11,26,96.0,Low
Senior,Data Engineer,46,23,5,4,16,14,29,96.0,Low
Senior,UX Designer,52,24,3,5,17,13,29,96.0,Low
Junior,System Administrator,33,5,2,3,10,14,18,76.65,Medium
Junior,System Analyst,25,3,4,3,6,15,20,94.25,Low
Trainee,Cloud Engineer,23,2,2,1,1,44,13,18.0,High
Trainee,QA Tester,21,1,2,4,3,27,17,55.05,Medium
Senior,Data Scientist,44,12,5,5,12,11,36,96.0,Low
Junior,QA Tester,28,4,2,3,9,19,17,69.4,Medium
Trainee,DevOps Engineer,22,2,2,1,1,32,14,29.0,High
Trainee,IT Manager,25,0,2,3,1,31,6,43.6,High
Trainee,Cloud Engineer,24,0,3,3,1,28,6,53.7,High
Junior,Cloud Engineer,28,3,4,3,8,23,10,86.45,Low
Junior,Database Administrator,31,4,4,5,6,20,15,96.0,Low
Junior,Data Analyst,24,4,2,3,7,33,17,58.8,Medium
Trainee,UX Designer,23,1,2,3,4,29,13,47.95,Medium
Junior,UX Designer,29,2,4,4,10,30,21,96.0,Low
Junior,System Analyst,31,4,4,3,8,32,21,85.0,Low
Trainee,UX Designer,21,0,2,2,2,43,12,22.5,High
Trainee,Support Analyst,24,0,3,1,4,33,7,32.3,High
Senior,IT Manager,52,25,5,4,8,7,27,96.0,Low
Trainee,Solution Architect,23,1,2,2,3,39,8,28.05,High
Trainee,DevOps Engineer,25,1,2,2,4,45,14,25.15,High
Senior,Cloud Engineer,53,20,4,5,17,13,36,96.0,Low
Senior,UX Designer,52,24,4,4,18,22,34,96.0,Low
Senior,Data Engineer,41,14,4,5,13,22,21,96.0,Low
Senior,QA Engineer,33,9,3,4,17,20,29,96.0,Low
Senior,System Analyst,34,11,4,3,16,17,37,96.0,Low
Senior,Data Analyst,41,11,3,4,16,17,21,96.0,Low
Senior,Business Analyst,53,21,5,3,16,23,25,96.0,Low
Junior,Database Administrator,24,3,3,5,8,21,10,91.85,Low
Junior,Data Engineer,27,6,4,4,5,17,22,96.0,Low
Trainee,QA Tester,22,0,3,1,4,42,6,21.6,High
Senior,Business Analyst,39,9,5,5,9,8,32,96.0,Low
Senior,System Analyst,46,19,5,4,9,17,25,96.0,Low
Trainee,QA Tester,21,1,2,4,2,30,12,50.05,Medium
Junior,UX Researcher,26,3,3,3,4,24,11,70.55,Medium
Junior,QA Tester,32,7,3,4,10,14,17,93.15,Low
Senior,Business Analyst,43,13,3,5,16,9,32,96.0,Low
Junior,QA Tester,25,4,2,5,5,30,16,73.7,Medium
Senior,Data Engineer,51,18,4,3,14,23,26,96.0,Low
Junior,Data Engineer,27,3,4,4,7,30,10,88.65,Low
Senior,Data Scientist,50,24,4,3,18,6,28,96.0,Low
Senior,System Analyst,46,22,3,4,18,20,18,96.0,Low
Trainee,Business Analyst,23,1,1,2,4,41,7,18.0,High
Senior,UX Researcher,49,20,5,3,9,19,37,96.0,Low
Senior,IT Manager,36,8,4,3,13,17,23,96.0,Low
Trainee,Database Administrator,21,1,2,3,3,25,6,46.05,High
Senior,System Analyst,36,10,3,5,9,20,29,96.0,Low
Senior,System Administrator,44,19,5,4,11,10,34,96.0,Low
Junior,Data Engineer,28,4,3,3,5,26,16,74.5,Medium
Senior,UX Researcher,45,12,5,5,13,17,28,96.0,Low
Senior,Data Analyst,37,10,4,4,13,21,27,96.0,Low
Trainee,QA Tester,24,2,3,1,2,31,16,37.4,High
Senior,Support Analyst,43,10,4,5,17,22,33,96.0,Low
Senior,Data Engineer,52,20,5,4,16,7,25,96.0,Low
Junior,UX Researcher,27,3,2,4,4,24,13,69.35,Low
Junior,Data Analyst,26,4,4,4,5,23,19,92.8,Low
Junior,Database Administrator,30,7,2,3,10,33,22,65.85,Medium
Junior,Data Scientist,28,6,3,3,4,17,18,82.6,Low
Junior,Data Analyst,30,5,4,4,10,12,12,96.0,Low
Senior,UX Researcher,41,12,4,3,9,21,18,96.0,Low
Junior,Cloud Engineer,30,5,4,4,10,21,14,96.0,Low
Junior,Solution Architect,28,6,2,2,4,16,12,63.9,Medium
Senior,Support Analyst,51,22,3,5,17,24,21,96.0,Low
Trainee,Data Engineer,23,2,2,3,2,34,10,42.9,High
Junior,Data Analyst,29,2,3,4,4,13,10,84.4,Low
Senior,UX Researcher,45,16,4,4,9,23,21,96.0,Low
Senior,Data Scientist,48,17,3,4,10,16,29,96.0,Low
Trainee,Data Scientist,26,0,3,3,4,29,10,58.3,Medium
Junior,Data Analyst,26,2,2,4,4,18,12,71.7,Low
Trainee,Support Analyst,24,2,2,4,1,27,7,48.7,High
Trainee,System Analyst,23,0,2,3,4,29,7,43.1,High
Trainee,Database Administrator,21,1,3,4,1,25,10,63.85,Medium
Trainee,Business Analyst,24,0,1,3,3,23,17,41.4,Medium
Trainee,System Administrator,23,2,2,2,4,45,6,20.4,High
Senior,System Analyst,54,25,5,4,18,9,30,96.0,Low
Junior,QA Tester,34,5,4,4,10,16,14,96.0,Low
Junior,Cloud Engineer,28,2,3,3,7,32,19,72.4,Medium
Junior,Business Analyst,31,5,4,4,5,29,14,88.05,Low
Senior,System Analyst,41,13,4,3,10,12,32,96.0,Low
Senior,UX Designer,39,14,3,4,16,16,21,96.0,Low
Trainee,System Analyst,25,2,2,2,4,44,11,22.1,High
Senior,QA Tester,46,14,3,5,15,24,25,96.0,Low
Senior,Data Engineer,40,11,5,4,10,16,22,96.0,Low
Trainee,Support Analyst,22,0,3,3,1,35,12,46.2,High
Trainee,Support Analyst,23,1,1,2,1,26,13,25.35,High
Trainee,Support Analyst,23,1,3,4,4,31,13,60.55,Low
Senior,QA Engineer,35,10,3,5,14,14,22,96.0,Low
Senior,Data Scientist,45,14,4,3,16,8,18,96.0,Low
Senior,IT Manager,50,22,4,5,15,18,23,96.0,Low
Junior,DevOps Engineer,30,2,4,4,10,13,14,96.0,Low
Senior,Data Scientist,46,22,4,4,10,18,28,96.0,Low
Trainee,Solution Architect,23,0,3,4,4,41,7,57.7,Medium
Junior,Data Engineer,29,7,4,3,8,25,10,86.85,Medium
Junior,System Administrator,28,6,3,5,5,20,19,94.8,Low
Junior,UX Researcher,30,7,2,3,10,30,11,63.55,Medium
Senior,System Administrator,46,23,5,5,12,8,19,96.0,Low
Trainee,IT Manager,26,1,3,2,1,41,8,34.85,High
Trainee,QA Engineer,24,2,2,3,4,42,9,34.7,High
Senior,UX Designer,42,18,5,4,18,20,25,96.0,Low
Junior,Data Analyst,26,4,4,4,4,25,18,90.1,Low
Senior,Solution Architect,50,23,5,5,16,10,34,96.0,Low
Senior,Support Analyst,37,9,5,5,11,22,21,96.0,Low
Trainee,System Analyst,23,2,3,2,4,29,16,49.6,Medium
Trainee,Database Administrator,23,1,1,2,2,41,9,18.0,High
Junior,UX Researcher,27,4,3,4,5,15,12,86.6,Low
Senior,QA Tester,49,18,4,3,8,9,23,96.0,Low
Senior,QA Engineer,47,22,5,4,11,14,27,96.0,Low
Senior,IT Manager,45,18,4,4,10,19,27,96.0,Low
Senior,IT Manager,42,17,4,5,12,24,18,96.0,Low
Junior,Cloud Engineer,34,4,3,5,7,21,22,96.0,Low
Junior,System Analyst,25,5,4,5,7,26,10,96.0,Low
Trainee,Solution Architect,24,2,3,3,4,33,8,56.6,Medium
Junior,Data Analyst,30,3,2,3,10,27,19,66.05,Medium
Junior,Cloud Engineer,24,3,4,4,10,17,17,96.0,Low
Junior,Data Analyst,32,3,3,2,5,27,22,64.75,Medium
Junior,IT Manager,26,2,3,3,4,30,20,73.5,Medium
Junior,DevOps Engineer,27,6,2,3,8,19,10,70.6,Medium
Trainee,Database Administrator,25,0,2,3,1,36,12,38.5,High
Senior,QA Tester,38,9,4,4,14,15,35,96.0,Low
Senior,QA Tester,54,22,4,5,16,17,25,96.0,Low
Senior,Database Administrator,45,18,4,4,12,12,21,96.0,Low
Senior,DevOps Engineer,42,12,3,5,17,9,29,96.0,Low
Junior,Support Analyst,24,4,2,5,9,13,14,87.4,Low
Junior,Business Analyst,30,7,2,3,8,12,20,77.95,Medium
Senior,Business Analyst,52,19,4,5,10,13,28,96.0,Low
Trainee,Solution Architect,23,1,2,1,4,29,15,35.75,High
Junior,Cloud Engineer,31,4,4,4,10,17,10,96.0,Low
Trainee,Data Analyst,26,1,2,3,4,36,10,39.85,High
Senior,Data Engineer,57,24,4,4,17,6,35,96.0,Low
Junior,DevOps Engineer,25,2,2,5,4,31,13,74.0,Medium
Trainee,Data Scientist,26,1,2,3,2,36,14,43.65,High
Junior,Database Administrator,30,7,4,2,8,14,17,87.35,Low
Junior,Data Engineer,31,3,3,3,9,13,10,84.35,Medium
Trainee,Data Engineer,22,1,1,1,3,39,14,18.0,High
Senior,System Analyst,48,17,5,4,8,15,36,96.0,Low
Trainee,Data Engineer,24,2,1,4,3,43,15,37.5,High
Senior,QA Tester,53,22,4,4,16,6,36,96.0,Low
Junior,UX Researcher,26,6,3,4,6,13,21,93.4,Low
Trainee,Cloud Engineer,25,1,2,3,4,26,13,51.05,Medium
Senior,UX Researcher,48,16,5,3,10,17,31,96.0,Low
Junior,Business Analyst,27,4,3,2,6,31,12,60.3,Medium
Junior,Support Analyst,28,6,4,4,8,19,21,96.0,Low
Trainee,Data Analyst,23,0,3,2,3,24,12,49.7,Medium
Senior,IT Manager,40,9,5,3,16,9,22,96.0,Low
Junior,UX Designer,34,3,2,4,6,26,16,71.95,Medium
Junior,UX Researcher,24,3,3,3,6,20,14,76.35,Low
Senior,QA Engineer,44,17,4,4,13,14,32,96.0,Low
Junior,UX Researcher,30,5,3,4,7,18,11,86.35,Low
Junior,Solution Architect,30,3,4,5,9,27,11,96.0,Low
Junior,Solution Architect,30,6,2,3,5,20,15,71.2,Medium
Senior,Cloud Engineer,47,20,5,5,18,22,25,96.0,Low
Senior,IT Manager,41,16,5,4,15,11,24,96.0,Low
Junior,System Analyst,24,4,3,4,8,21,22,88.1,Low
Senior,System Analyst,33,8,3,3,10,10,32,96.0,Low
Junior,UX Researcher,32,4,4,3,8,24,21,91.6,Low
Senior,DevOps Engineer,48,23,3,4,13,19,34,96.0,Low
Senior,Business Analyst,46,23,4,4,11,17,22,96.0,Low
Junior,QA Engineer,29,4,4,4,6,32,22,90.6,Low
Senior,System Analyst,46,15,5,5,13,8,28,96.0,Low
Trainee,System Analyst,24,0,2,1,3,45,6,18.0,High
Trainee,Data Engineer,21,0,2,3,4,27,17,51.5,Medium
Senior,Database Administrator,55,23,5,5,17,17,24,96.0,Low
Senior,System Administrator,54,24,4,5,16,10,34,96.0,Low
Senior,DevOps Engineer,54,21,5,4,15,21,33,96.0,Low
Trainee,DevOps Engineer,26,0,1,2,4,42,17,18.0,High
Trainee,IT Manager,22,1,2,1,1,44,13,18.0,High
Senior,System Administrator,40,10,4,3,15,18,19,96.0,Low
Junior,Solution Architect,29,5,4,4,9,29,11,94.45,Low
Junior,Database Administrator,25,2,3,5,7,25,22,92.5,Low
Junior,Database Administrator,33,6,4,3,7,32,21,86.0,Low
Junior,System Administrator,32,2,2,4,10,28,13,71.5,Medium
Senior,IT Manager,47,24,5,4,10,15,31,96.0,Low
Senior,Support Analyst,43,19,4,4,17,22,21,96.0,Low
Junior,Solution Architect,32,7,3,4,5,19,17,91.15,Low
Senior,DevOps Engineer,43,17,5,4,17,23,34,96.0,Low
Junior,QA Engineer,33,3,3,4,5,32,18,74.65,Low
Junior,Data Scientist,27,3,3,4,9,12,19,96.0,Low
Junior,Data Scientist,24,4,3,3,7,27,12,75.0,Medium
Trainee,Cloud Engineer,24,2,3,2,1,24,8,50.2,High
Junior,Support Analyst,31,2,3,5,4,31,14,79.4,Low
Junior,DevOps Engineer,28,4,3,4,6,18,11,87.0,Low
Senior,Business Analyst,37,14,4,5,11,17,18,96.0,Low
Junior,Cloud Engineer,34,7,4,3,4,21,13,87.25,Low
Senior,Database Administrator,42,19,4,5,13,17,32,96.0,Low
Junior,Database Administrator,25,2,4,5,7,13,19,96.0,Low
Junior,System Administrator,33,5,3,4,7,18,12,86.75,Low
Trainee,Data Engineer,23,1,2,1,4,28,8,31.65,High
Senior,System Administrator,37,13,5,4,17,8,34,96.0,Low
Junior,System Administrator,24,4,2,4,8,18,15,78.4,Low
Trainee,IT Manager,22,2,2,4,3,33,10,54.5,Medium
Junior,UX Designer,26,2,3,3,6,28,22,74.5,Medium
Senior,IT Manager,47,22,5,5,18,17,31,96.0,Low
